alpha,beta,execution_time,error
-0.59954786,0.0593929,189.3195948600769,786685.9439220612
-0.848806,0.22395983,189.3195948600769,786685.9439220612
-0.26029012,-0.016739845,189.3195948600769,786685.9439220612
0.01817329,0.0072716023,189.3195948600769,786685.9439220612
0.29381657,0.1167657,189.3195948600769,786685.9439220612
0.42598245,0.14975718,189.3195948600769,786685.9439220612
0.5557724,0.13188785,189.3195948600769,786685.9439220612
0.61998266,0.009979412,189.3195948600769,786685.9439220612
0.7379694,-0.09702105,189.3195948600769,786685.9439220612
0.6056719,-0.15759167,189.3195948600769,786685.9439220612
0.16148649,0.03041123,189.3195948600769,786685.9439220612
-0.79682547,-0.3171209,189.3195948600769,786685.9439220612
0.76264,-0.33315346,189.3195948600769,786685.9439220612
-0.23839635,0.0459231,189.3195948600769,786685.9439220612
-0.64715177,-0.15013912,189.3195948600769,786685.9439220612
-0.771169,-0.07075425,189.3195948600769,786685.9439220612
-0.61530566,0.022002833,189.3195948600769,786685.9439220612
-0.5271616,0.14210734,189.3195948600769,786685.9439220612
-0.3700799,0.13814475,189.3195948600769,786685.9439220612
-0.25328213,0.10375672,189.3195948600769,786685.9439220612
0.056030165,-0.02483356,189.3195948600769,786685.9439220612
0.31769362,-0.020147232,189.3195948600769,786685.9439220612
0.8893198,0.21618424,189.3195948600769,786685.9439220612
0.5861253,0.051706582,189.3195948600769,786685.9439220612
0.24105084,-0.012979398,189.3195948600769,786685.9439220612
0.007125809,-0.0025662577,189.3195948600769,786685.9439220612
-0.4146503,0.2393932,189.3195948600769,786685.9439220612
0.20684996,-0.015805231,189.3195948600769,786685.9439220612
0.37192512,0.089624934,189.3195948600769,786685.9439220612
0.45987907,0.09144216,189.3195948600769,786685.9439220612
0.3682623,0.1277195,189.3195948600769,786685.9439220612
0.19979593,0.08350502,189.3195948600769,786685.9439220612
-0.048028417,-0.03310609,189.3195948600769,786685.9439220612
-0.33010694,-0.21051426,189.3195948600769,786685.9439220612
-0.39196908,-0.23955168,189.3195948600769,786685.9439220612
0.10393586,-0.010901394,189.3195948600769,786685.9439220612
0.61701214,-0.23812686,189.3195948600769,786685.9439220612
-0.6551391,-0.22719017,189.3195948600769,786685.9439220612
-0.116029255,-0.008097557,189.3195948600769,786685.9439220612
0.38700572,-0.2510282,189.3195948600769,786685.9439220612
0.31163424,-0.20488235,189.3195948600769,786685.9439220612
-0.0019090627,0.0011872094,189.3195948600769,786685.9439220612
-0.2354319,0.0894578,189.3195948600769,786685.9439220612
-0.40182066,0.11960751,189.3195948600769,786685.9439220612
-0.48789942,0.07103266,189.3195948600769,786685.9439220612
-0.38185862,0.07269785,189.3195948600769,786685.9439220612
-0.20104313,-0.023739826,189.3195948600769,786685.9439220612
0.43801084,0.2603874,189.3195948600769,786685.9439220612
-0.03038309,-0.011636466,189.3195948600769,786685.9439220612
-0.24318586,-0.015195292,189.3195948600769,786685.9439220612
