"n","alpha","beta_rad"
1,3.45899497915525e-05,2.960991382598877
2,1.332763258687919e-05,1.7762911319732666
3,6.927605863893405e-05,6.168478488922119
4,2.1334784833015874e-05,4.526390075683594
5,1.3841980944562238e-05,1.2788879871368408
6,3.9406560972565785e-05,2.7703781127929688
7,3.9793427276890725e-05,0.370405912399292
8,6.20525679551065e-06,4.542597770690918
9,0.00011511196498759091,3.7613821029663086
10,0.24682165682315826,0.8304653167724609
11,0.7706693410873413,0.6096795797348022
12,0.0001266835752176121,0.20087666809558868
