alpha,beta,execution_time,error
-0.017533915,0.16805832,162.11848640441895,2441.1029060657065
-0.0258861,0.06975695,162.11848640441895,2441.1029060657065
-0.021739468,0.23599896,162.11848640441895,2441.1029060657065
-0.011188748,0.35523137,162.11848640441895,2441.1029060657065
0.008751807,-0.55215275,162.11848640441895,2441.1029060657065
0.018943386,-0.10754112,162.11848640441895,2441.1029060657065
0.027461767,-0.08699281,162.11848640441895,2441.1029060657065
0.02966601,0.012631292,162.11848640441895,2441.1029060657065
0.02450724,0.016578775,162.11848640441895,2441.1029060657065
0.02295253,0.059317566,162.11848640441895,2441.1029060657065
0.020442653,0.05090532,162.11848640441895,2441.1029060657065
0.025247283,0.090163134,162.11848640441895,2441.1029060657065
0.021913549,-0.07547988,162.11848640441895,2441.1029060657065
0.027498681,0.053626228,162.11848640441895,2441.1029060657065
0.026620656,-0.067019306,162.11848640441895,2441.1029060657065
0.027736727,0.058330942,162.11848640441895,2441.1029060657065
0.022472393,-0.07194318,162.11848640441895,2441.1029060657065
0.02145301,0.017626174,162.11848640441895,2441.1029060657065
0.015618276,0.027661934,162.11848640441895,2441.1029060657065
0.008311862,0.05720983,162.11848640441895,2441.1029060657065
-0.004016725,-0.09363,162.11848640441895,2441.1029060657065
-0.012580883,-0.13390459,162.11848640441895,2441.1029060657065
-0.017792787,0.054312762,162.11848640441895,2441.1029060657065
-0.01011423,0.17452377,162.11848640441895,2441.1029060657065
-0.0042467946,0.18403268,162.11848640441895,2441.1029060657065
0.009554652,-0.20667636,162.11848640441895,2441.1029060657065
0.013616197,-0.0830967,162.11848640441895,2441.1029060657065
0.013452177,-0.061480004,162.11848640441895,2441.1029060657065
0.0038943149,-0.06592063,162.11848640441895,2441.1029060657065
-0.0035742747,0.17706913,162.11848640441895,2441.1029060657065
-0.014389102,0.12778886,162.11848640441895,2441.1029060657065
-0.02006895,0.021392267,162.11848640441895,2441.1029060657065
-0.024162263,0.0060368516,162.11848640441895,2441.1029060657065
-0.029309532,-0.07097166,162.11848640441895,2441.1029060657065
-0.028731503,-0.06992752,162.11848640441895,2441.1029060657065
-0.026892707,-0.079192445,162.11848640441895,2441.1029060657065
-0.021034127,0.054163273,162.11848640441895,2441.1029060657065
-0.023467606,-0.04852354,162.11848640441895,2441.1029060657065
-0.021065312,0.18074763,162.11848640441895,2441.1029060657065
-0.024454294,0.0011128567,162.11848640441895,2441.1029060657065
-0.026349522,0.11174519,162.11848640441895,2441.1029060657065
-0.030228792,-0.047864612,162.11848640441895,2441.1029060657065
-0.0258342,0.013662134,162.11848640441895,2441.1029060657065
-0.016861329,0.011146347,162.11848640441895,2441.1029060657065
-0.0031590855,0.28785613,162.11848640441895,2441.1029060657065
0.010783304,-0.10804588,162.11848640441895,2441.1029060657065
0.022328397,-0.17550236,162.11848640441895,2441.1029060657065
0.02258927,-0.023130868,162.11848640441895,2441.1029060657065
0.016124712,-0.12759088,162.11848640441895,2441.1029060657065
-0.0037803156,0.09508467,162.11848640441895,2441.1029060657065
