alpha,beta,execution_time,error
0.04932699,0.1997851,47.00393795967102,33918.88020324268
-0.009231672,0.11709112,47.00393795967102,33918.88020324268
-0.0018153656,0.5135321,47.00393795967102,33918.88020324268
0.0018497559,0.16750792,47.00393795967102,33918.88020324268
-0.039230313,-0.018586233,47.00393795967102,33918.88020324268
-0.013049766,0.2860199,47.00393795967102,33918.88020324268
-0.5432475,-0.087902375,47.00393795967102,33918.88020324268
0.08166322,-0.049505092,47.00393795967102,33918.88020324268
0.005937606,-0.09474516,47.00393795967102,33918.88020324268
0.0012176747,-0.2557337,47.00393795967102,33918.88020324268
0.0030122881,0.0063636173,47.00393795967102,33918.88020324268
0.020110497,0.03978194,47.00393795967102,33918.88020324268
-0.28607026,-0.11518392,47.00393795967102,33918.88020324268
-0.28755555,-0.16385251,47.00393795967102,33918.88020324268
0.021291682,-0.15694728,47.00393795967102,33918.88020324268
0.0023486633,0.04639028,47.00393795967102,33918.88020324268
0.0007840035,-0.13908324,47.00393795967102,33918.88020324268
0.004512434,-0.39626783,47.00393795967102,33918.88020324268
0.0794278,0.010701883,47.00393795967102,33918.88020324268
-0.5482314,0.055792984,47.00393795967102,33918.88020324268
-0.014822779,0.17243613,47.00393795967102,33918.88020324268
-0.042102963,-0.044109307,47.00393795967102,33918.88020324268
0.00097035617,-0.3969131,47.00393795967102,33918.88020324268
-0.0027134933,-0.21035188,47.00393795967102,33918.88020324268
-0.008795265,-0.06424847,47.00393795967102,33918.88020324268
0.04873984,0.03111036,47.00393795967102,33918.88020324268
-0.5269131,0.034768652,47.00393795967102,33918.88020324268
