"n","alpha","beta_rad"
1,0.07671469449996948,3.9003396034240723
2,0.08056095242500305,4.263167858123779
3,0.06083231419324875,4.398571014404297
4,0.010864476673305035,1.3759711980819702
5,0.06294872611761093,1.286206841468811
6,0.006130249705165625,0.5201543569564819
7,0.07800383120775223,4.459134578704834
8,0.06607499718666077,4.511999130249023
9,0.026441438123583794,6.140011787414551
10,0.18532970547676086,1.5874838829040527
11,0.0884757712483406,1.1310219764709473
12,0.07698307186365128,0.9194180965423584
13,0.07712498307228088,0.898163914680481
14,0.08512862026691437,1.1410211324691772
15,0.08328896015882492,1.4467318058013916
16,0.03622741997241974,1.4184621572494507
17,0.04495251551270485,4.675365447998047
18,0.0695825070142746,4.647355079650879
19,0.0063520632684230804,0.455833375453949
20,0.04968779906630516,1.307101845741272
21,0.017545649781823158,3.340536594390869
22,0.07084310799837112,4.693983554840088
23,0.07360760867595673,4.714286804199219
24,0.0777955949306488,4.124211311340332
25,0.07910346984863281,3.8834762573242188
