alpha,beta,execution_time,error
-0.0019777545,-0.09431444,52.023996353149414,40960.96836448285
-2.4507652e-05,-0.017568853,52.023996353149414,40960.96836448285
-0.0010510498,-0.062423367,52.023996353149414,40960.96836448285
-0.0025563156,-0.12259097,52.023996353149414,40960.96836448285
-0.0032303396,-0.06326854,52.023996353149414,40960.96836448285
-0.0003445868,0.003413688,52.023996353149414,40960.96836448285
0.0012012075,-0.13957173,52.023996353149414,40960.96836448285
0.00049429433,-0.047493182,52.023996353149414,40960.96836448285
-0.0007822204,-0.06799606,52.023996353149414,40960.96836448285
-0.0020062244,-0.07469704,52.023996353149414,40960.96836448285
0.52664715,0.6236414,52.023996353149414,40960.96836448285
5.9366226e-05,-0.03533529,52.023996353149414,40960.96836448285
-0.0010758067,-0.10016848,52.023996353149414,40960.96836448285
-0.000115347335,-0.030831056,52.023996353149414,40960.96836448285
-0.0007172618,-0.013845671,52.023996353149414,40960.96836448285
0.0004776059,-0.22651246,52.023996353149414,40960.96836448285
0.003706883,-0.28400943,52.023996353149414,40960.96836448285
0.0016437261,-0.0009059645,52.023996353149414,40960.96836448285
-0.0011737733,-0.06536459,52.023996353149414,40960.96836448285
-0.00064296415,-0.06499011,52.023996353149414,40960.96836448285
-0.00068551826,-0.05910811,52.023996353149414,40960.96836448285
-0.46895853,0.62498325,52.023996353149414,40960.96836448285
