,alpha,beta,execution_time,error
0,-0.00051016186,0.06879689,61.34850358963013,0.14928704529732942
1,-0.00056462106,-0.055301487,61.34850358963013,0.14928704529732942
2,-0.00063874415,0.01581352,61.34850358963013,0.14928704529732942
3,-0.0007265818,0.022221347,61.34850358963013,0.14928704529732942
4,-0.0005911343,-0.03596935,61.34850358963013,0.14928704529732942
5,-0.00036583887,0.030696865,61.34850358963013,0.14928704529732942
6,-6.0882172e-05,-0.19956882,61.34850358963013,0.14928704529732942
7,0.0003501837,0.21494403,61.34850358963013,0.14928704529732942
8,0.00046029442,0.100820564,61.34850358963013,0.14928704529732942
9,0.0003348963,0.10154654,61.34850358963013,0.14928704529732942
10,-0.00017785025,-0.25601915,61.34850358963013,0.14928704529732942
11,-0.00052653236,-0.123607144,61.34850358963013,0.14928704529732942
12,-0.00045704952,-0.030376866,61.34850358963013,0.14928704529732942
13,-0.00019158529,-0.2570978,61.34850358963013,0.14928704529732942
14,0.00037724423,0.25366092,61.34850358963013,0.14928704529732942
15,0.0004822967,0.13910632,61.34850358963013,0.14928704529732942
16,0.00033350792,0.22496472,61.34850358963013,0.14928704529732942
17,-0.00022783552,-0.36064163,61.34850358963013,0.14928704529732942
18,-0.00033556577,0.09122281,61.34850358963013,0.14928704529732942
19,-0.00064409676,0.14841893,61.34850358963013,0.14928704529732942
20,-0.0006831264,0.012329488,61.34850358963013,0.14928704529732942
21,-0.0005945688,0.14259927,61.34850358963013,0.14928704529732942
22,-0.00058642507,0.011578484,61.34850358963013,0.14928704529732942
23,-0.0004535121,-0.018743308,61.34850358963013,0.14928704529732942
24,-0.0005428962,-0.1616513,61.34850358963013,0.14928704529732942
25,-0.0004749669,-0.029740732,61.34850358963013,0.14928704529732942
26,-0.00056189863,-0.009220298,61.34850358963013,0.14928704529732942
27,-0.0006169134,0.07815769,61.34850358963013,0.14928704529732942
28,-0.00064072735,0.0586747,61.34850358963013,0.14928704529732942
29,-0.00065225083,-0.014095688,61.34850358963013,0.14928704529732942
30,-0.0004911203,0.009303748,61.34850358963013,0.14928704529732942
31,-7.5547825e-05,0.113403544,61.34850358963013,0.14928704529732942
32,0.00027122916,0.21268734,61.34850358963013,0.14928704529732942
33,0.0005409844,-0.0084216315,61.34850358963013,0.14928704529732942
34,0.00037259946,-0.057798825,61.34850358963013,0.14928704529732942
35,4.0851664e-05,-0.12538576,61.34850358963013,0.14928704529732942
36,-0.0003259472,-0.039422058,61.34850358963013,0.14928704529732942
37,-0.00039912545,0.21075526,61.34850358963013,0.14928704529732942
38,4.9517694e-05,-0.079398215,61.34850358963013,0.14928704529732942
39,0.00034282572,-0.11863994,61.34850358963013,0.14928704529732942
40,0.00052321824,-0.11487911,61.34850358963013,0.14928704529732942
41,0.000307437,-0.2300328,61.34850358963013,0.14928704529732942
42,6.0191443e-05,-0.30115613,61.34850358963013,0.14928704529732942
43,-0.0005234896,0.17824784,61.34850358963013,0.14928704529732942
44,-0.00061540457,0.11900711,61.34850358963013,0.14928704529732942
45,-0.00068769406,-0.12790662,61.34850358963013,0.14928704529732942
46,-0.00066666416,-0.002254478,61.34850358963013,0.14928704529732942
47,-0.0005363526,-0.06316448,61.34850358963013,0.14928704529732942
48,-0.00053609285,0.10366469,61.34850358963013,0.14928704529732942
49,-0.0004308647,-0.06948224,61.34850358963013,0.14928704529732942
