run_id,beam_file,N,loss_sigma,learning_rate,final_apodized_loss,k_t_inferred,exec_time_seconds,status,output_directory
39,beam_v1_256.mat,5,1.0,1e-06,435.4864501953125,0.9894105792045593,123.02,EXITOSO,outputs/20260622_235556_beam_v1_256
40,beam_v1_256.mat,5,10.0,0.01,993.78564453125,1.9333655834197998,123.24,EXITOSO,outputs/20260622_235759_beam_v1_256
41,beam_v1_256.mat,5,10.0,0.0001,993.8426513671875,1.9438011646270752,122.84,EXITOSO,outputs/20260623_000002_beam_v1_256
42,beam_v1_256.mat,5,10.0,1e-06,1800.4637451171875,1.7168471813201904,123.92,EXITOSO,outputs/20260623_000206_beam_v1_256
43,beam_v1_256.mat,5,100.0,0.01,134.8619384765625,2.026822328567505,123.63,EXITOSO,outputs/20260623_000409_beam_v1_256
44,beam_v1_256.mat,5,100.0,0.0001,134.83615112304688,1.7870937585830688,124.72,EXITOSO,outputs/20260623_000614_beam_v1_256
45,beam_v1_256.mat,5,100.0,1e-06,263.24322509765625,1.717354416847229,123.39,EXITOSO,outputs/20260623_000818_beam_v1_256
46,beam_v1_256.mat,5,100000.0,0.01,0.13530519604682922,1.428916335105896,122.76,EXITOSO,outputs/20260623_001020_beam_v1_256
47,beam_v1_256.mat,5,100000.0,0.0001,0.13530480861663818,1.7114208936691284,122.26,EXITOSO,outputs/20260623_001223_beam_v1_256
48,beam_v1_256.mat,5,100000.0,1e-06,0.2880987524986267,1.7166074514389038,123.68,EXITOSO,outputs/20260623_001426_beam_v1_256
49,beam_v1_256.mat,6,1.0,0.01,214.54779052734375,0.20000000298023224,139.95,EXITOSO,outputs/20260623_001646_beam_v1_256
50,beam_v1_256.mat,6,1.0,0.0001,214.5542755126953,0.42195215821266174,141.91,EXITOSO,outputs/20260623_001908_beam_v1_256
51,beam_v1_256.mat,6,1.0,1e-06,459.98028564453125,1.0095367431640625,139.4,EXITOSO,outputs/20260623_002128_beam_v1_256
52,beam_v1_256.mat,6,10.0,0.01,368.98492431640625,1.9907922744750977,139.03,EXITOSO,outputs/20260623_002347_beam_v1_256
53,beam_v1_256.mat,6,10.0,0.0001,368.9588317871094,1.9909675121307373,139.8,EXITOSO,outputs/20260623_002607_beam_v1_256
54,beam_v1_256.mat,6,10.0,1e-06,2124.587890625,1.9793864488601685,140.01,EXITOSO,outputs/20260623_002826_beam_v1_256
