run_id,beam_file,N,loss_sigma,learning_rate,final_apodized_loss,k_t_inferred,exec_time_seconds,status,output_directory
1,beam_v2_256.mat,2,1.0,0.01,214.46018981933594,1.207355260848999,75.22,EXITOSO,outputs/20260623_054221_beam_v2_256
2,beam_v2_256.mat,2,1.0,0.0001,216.2177734375,0.20000000298023224,80.69,EXITOSO,outputs/20260623_054342_beam_v2_256
3,beam_v2_256.mat,2,1.0,1e-06,505.36883544921875,0.9898672103881836,79.88,EXITOSO,outputs/20260623_054502_beam_v2_256
4,beam_v2_256.mat,2,10.0,0.01,993.869384765625,0.3169971704483032,92.75,EXITOSO,outputs/20260623_054634_beam_v2_256
5,beam_v2_256.mat,2,10.0,0.0001,993.870849609375,0.9815647006034851,82.33,EXITOSO,outputs/20260623_054756_beam_v2_256
6,beam_v2_256.mat,2,10.0,1e-06,2296.99560546875,1.0095367431640625,80.31,EXITOSO,outputs/20260623_054918_beam_v2_256
7,beam_v2_256.mat,2,100.0,0.01,134.8756561279297,1.0226738452911377,79.41,EXITOSO,outputs/20260623_055037_beam_v2_256
8,beam_v2_256.mat,2,100.0,0.0001,134.85989379882812,0.8364661335945129,79.97,EXITOSO,outputs/20260623_055156_beam_v2_256
9,beam_v2_256.mat,2,100.0,1e-06,318.37921142578125,1.0093783140182495,79.48,EXITOSO,outputs/20260623_055316_beam_v2_256
10,beam_v2_256.mat,2,100000.0,0.01,0.1353226900100708,0.8232449889183044,79.54,EXITOSO,outputs/20260623_055436_beam_v2_256
11,beam_v2_256.mat,2,100000.0,0.0001,0.13530470430850983,0.9806836843490601,79.46,EXITOSO,outputs/20260623_055555_beam_v2_256
12,beam_v2_256.mat,2,100000.0,1e-06,0.3168438673019409,0.989348292350769,79.51,EXITOSO,outputs/20260623_055715_beam_v2_256
13,beam_v2_256.mat,3,1.0,0.01,43.97985076904297,2.2963240146636963,95.22,EXITOSO,outputs/20260623_055850_beam_v2_256
